name,sex,race,outfit_id,outfit_colors,outfit_object_type,home_x,home_y,home_z,region,priority,priority_evidence,category,subcategory,confidence,source,sprite_geometry
Anerui,female,62,63,0-0-0-0,,32669,31659,7,HellsGate,P2,home nearest mark HellsGate,creature,npc,DEMONSTRATED,./npc/anerui.npc,UNRESOLVED
Aneus,male,1,129,0-50-58-116,,32426,31666,7,Fieldofglory,P2,home nearest mark Fieldofglory,creature,npc,DEMONSTRATED,./npc/aneus.npc,UNRESOLVED
Angelina,female,1,136,57-79-98-95,,32635,32402,10,Camp,P2,home nearest mark Camp,creature,npc,DEMONSTRATED,./npc/angelina.npc,UNRESOLVED
Angus,male,1,133,57-113-95-113,,32670,32730,7,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/angus.npc,UNRESOLVED
Arito,male,1,132,59-74-62-115,,33069,32886,6,Chor,P2,home nearest mark Chor,creature,npc,DEMONSTRATED,./npc/arito.npc,UNRESOLVED
Arkhothep,male,1,91,0-0-0-0,,33150,32842,4,Ankrahmun,P2,home nearest mark Ankrahmun,creature,npc,DEMONSTRATED,./npc/arkhothep.npc,UNRESOLVED
Arnold,male,1,131,113-113-113-115,,32945,32070,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/arnold.npc,UNRESOLVED
Aruda,female,1,140,77-83-79-95,,32368,32215,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/aruda.npc,UNRESOLVED
Ashtamor,male,1,130,19-114-76-114,,32958,32088,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/ashtamor.npc,UNRESOLVED
Asima,female,1,138,97-70-94-76,,33220,32404,7,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/asima.npc,UNRESOLVED
Asrak,male,1,29,0-0-0-0,,32932,32074,11,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/asrak.npc,UNRESOLVED
Avar Tar,male,1,73,0-0-0-0,,33250,31764,7,Stonehome,P2,home nearest mark Stonehome,creature,npc,DEMONSTRATED,./npc/avar.npc,UNRESOLVED
Azil,male,1,129,95-10-12-119,,33217,32431,7,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/azil.npc,UNRESOLVED
Baa'leal,male,51,51,0-0-0-0,,33048,32620,4,Efreet,P2,home nearest mark Efreet,creature,npc,DEMONSTRATED,./npc/baaleal.npc,UNRESOLVED
Bambi Bonecrusher,female,1,139,96-19-68-95,,32341,31749,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/bambi.npc,UNRESOLVED
Barbara,female,1,139,78-52-64-115,,32320,31752,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/barbara.npc,UNRESOLVED
Bashira,female,62,144,78-62-97-76,,32669,31655,8,HellsGate,P2,home nearest mark HellsGate,creature,npc,DEMONSTRATED,./npc/bashira.npc,UNRESOLVED
Basilisk,male,28,28,0-0-0-0,,32641,31943,15,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/basilisk.npc,UNRESOLVED
Baxter,male,1,131,96-29-29-115,,32322,32188,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/baxter.npc,UNRESOLVED
Beatrice,female,1,136,96-102-69-95,,33214,31803,6,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/beatrice.npc,UNRESOLVED
Benjamin,male,1,128,116-79-117-76,,32350,32219,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/benjamin.npc,UNRESOLVED
Bezil,female,69,160,116-79-117-57,,32657,31909,9,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/bezil.npc,UNRESOLVED
Billy,male,1,128,58-63-58-115,,32037,32205,7,Rookgaard,P1,home nearest mark Rookgaard,creature,npc,DEMONSTRATED,./npc/billy.npc,UNRESOLVED
Blind Orc,male,5,5,0-0-0-0,,32102,32130,4,Minoroom,P2,home nearest mark Minoroom,creature,npc,DEMONSTRATED,./npc/blindorc.npc,UNRESOLVED
Blossom Bonecrusher,female,1,139,96-19-63-95,,32390,31787,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/blossom.npc,UNRESOLVED
Bo'ques,male,80,80,0-0-0-0,,33101,32520,5,Marid,P2,home nearest mark Marid,creature,npc,DEMONSTRATED,./npc/boques.npc,UNRESOLVED
Bonifacius,male,1,128,59-82-58-95,,33165,31801,7,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/bonifacius.npc,UNRESOLVED
Boozer,male,1,128,76-20-116-76,,32921,32068,5,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/boozer.npc,UNRESOLVED
Borkas,male,1,128,77-43-38-76,,32992,32068,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/borkas.npc,UNRESOLVED
Bozo,male,1,128,86-93-82-79,,32313,32183,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/bozo.npc,UNRESOLVED
Brasith,male,62,144,60-94-58-76,,32692,31589,7,HellsGate,P2,home nearest mark HellsGate,creature,npc,DEMONSTRATED,./npc/brasith.npc,UNRESOLVED
Brengus,male,1,132,79-57-57-95,,32634,32747,6,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/brengus.npc,UNRESOLVED
Brewster,male,1,133,57-115-115-95,,32595,32744,7,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/brewster.npc,UNRESOLVED
Briasol,male,62,144,3-86-87-76,,32635,31667,8,Ab'Dendriel,P2,home nearest mark Ab'Dendriel,creature,npc,DEMONSTRATED,./npc/briasol.npc,UNRESOLVED
Brodrosch,male,69,66,0-0-0-0,,32661,31957,15,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/brodrosch.npc,UNRESOLVED
Bruno,male,1,128,113-10-95-95,,32486,31604,7,Northport,P2,home nearest mark Northport,creature,npc,DEMONSTRATED,./npc/bruno.npc,UNRESOLVED
Budrik,male,69,160,94-76-58-95,,32524,31906,8,Hills,P2,home nearest mark Hills,creature,npc,DEMONSTRATED,./npc/budrik.npc,UNRESOLVED
Bunny Bonecrusher,female,1,139,96-3-79-115,,32315,31756,6,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/bunny.npc,UNRESOLVED
Busty Bonecrusher,female,1,139,96-19-66-95,,32294,31791,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/busty.npc,UNRESOLVED
Captain Bluebear,male,1,129,19-69-107-50,,32310,32210,6,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/captain1.npc,UNRESOLVED
Captain Fearless,male,1,129,19-113-95-115,,32955,32022,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/captain5.npc,UNRESOLVED
Captain Greyhound,male,1,129,96-113-95-115,,32388,31822,6,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/captain2.npc,UNRESOLVED
Captain Jack,male,1,132,19-70-95-115,,32189,31957,6,KingsIsle,P2,home nearest mark KingsIsle,creature,npc,DEMONSTRATED,./npc/ferrymanjack.npc,UNRESOLVED
Captain Seagull,male,1,129,60-113-95-115,,32735,31668,6,Necropolis,P2,home nearest mark Necropolis,creature,npc,DEMONSTRATED,./npc/captain3.npc,UNRESOLVED
Captain Seahorse,male,1,129,19-113-95-115,,33176,31764,6,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/captain4.npc,UNRESOLVED
Captain Sinbeard,male,1,134,95-10-56-77,,33094,32884,6,Ankrahmun,P2,home nearest mark Ankrahmun,creature,npc,DEMONSTRATED,./npc/captain7.npc,UNRESOLVED
Carina,female,69,138,97-70-94-76,,33015,32048,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/carina.npc,UNRESOLVED
Carlson,male,1,129,19-113-68-67,,32029,31692,7,Vega,P2,home nearest mark Vega,creature,npc,DEMONSTRATED,./npc/ferryman4.npc,UNRESOLVED
Charles,male,1,134,57-29-95-98,,32529,32785,6,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/charles.npc,UNRESOLVED
Chatterbone,male,1,18,0-0-0-0,,32981,32080,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/chatterbone.npc,UNRESOLVED
Chemar,male,1,130,95-3-14-76,,33270,32439,6,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/chemar.npc,UNRESOLVED
Chephan,male,1,128,2-26-115-76,,32890,32077,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/chephan.npc,UNRESOLVED
Chester Kahs,male,1,131,10-28-47-95,,32348,32184,6,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/chester.npc,UNRESOLVED
Christoph,male,1,131,113-113-113-115,,32885,32031,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/christoph.npc,UNRESOLVED
Chrystal,female,1,136,116-79-117-76,,33174,31811,7,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/chrystal.npc,UNRESOLVED
Cipfried,male,1,57,0-0-0-0,,32097,32217,7,Rookgaard,P1,home nearest mark Rookgaard,creature,npc,DEMONSTRATED,./npc/cipfried.npc,UNRESOLVED
Clark,male,1,129,19-79-98-95,,32636,32796,7,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/clark.npc,UNRESOLVED
Clyde,male,1,128,98-40-48-95,,32573,32753,7,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/clyde.npc,UNRESOLVED
Cobra,male,1,0,,2051,33366,32855,14,Ankrahmun,P2,home nearest mark Ankrahmun,creature,npc,DEMONSTRATED,./npc/cobra.npc,UNRESOLVED
Cornelia,female,1,139,95-57-102-115,,32334,31796,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/cornelia.npc,UNRESOLVED
Costello,male,1,57,0-0-0-0,,32180,31936,7,KingsIsle,P2,home nearest mark KingsIsle,creature,npc,DEMONSTRATED,./npc/costello.npc,UNRESOLVED
Dabui,male,1,129,95-10-26-76,,33229,32409,7,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/dabui.npc,UNRESOLVED
Dagomir,male,1,130,0-2-41-76,,33018,32047,5,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/dagomir.npc,UNRESOLVED
Dalbrect,male,1,129,76-97-105-76,,32211,31756,7,Ghostlands,P2,home nearest mark Ghostlands,creature,npc,DEMONSTRATED,./npc/windtrouser.npc,UNRESOLVED
Dallheim,male,1,131,76-38-76-95,,32093,32180,6,Rookgaard,P1,home nearest mark Rookgaard,creature,npc,DEMONSTRATED,./npc/dallheim.npc,UNRESOLVED
Dane,female,1,136,79-58-86-96,,32308,31838,8,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/dane.npc,UNRESOLVED
Daniel Steelsoul,male,1,73,0-0-0-0,,33191,31795,7,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/daniel.npc,UNRESOLVED
Dario,male,62,144,3-58-41-115,,33156,32810,4,Ankrahmun,P2,home nearest mark Ankrahmun,creature,npc,DEMONSTRATED,./npc/dario.npc,UNRESOLVED
Demon Skeleton,male,37,37,0-0-0-0,,32666,31676,15,Ab'Dendriel,P2,home nearest mark Ab'Dendriel,creature,npc,DEMONSTRATED,./npc/demonskeleton.npc,UNRESOLVED
Demonguard,male,1,131,113-113-94-113,,32854,32318,10,Mists,P2,home nearest mark Mists,creature,npc,DEMONSTRATED,./npc/demongrd.npc,UNRESOLVED
Dermot,male,1,129,76-49-19-95,,32165,32437,7,Fibula,P2,home nearest mark Fibula,creature,npc,DEMONSTRATED,./npc/dermot.npc,UNRESOLVED
Digger,male,1,9,0-0-0-0,,32970,32087,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/digger.npc,UNRESOLVED
Dixi,female,1,136,96-99-76-115,,32105,32207,6,Rookgaard,P1,home nearest mark Rookgaard,creature,npc,DEMONSTRATED,./npc/dixi.npc,UNRESOLVED
Djema,female,1,136,77-9-86-131,,33101,32520,3,Marid,P2,home nearest mark Marid,creature,npc,DEMONSTRATED,./npc/djema.npc,UNRESOLVED
Donald McRonald,male,1,128,41-94-79-76,,32391,32229,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/don.npc,UNRESOLVED
Dove,female,1,136,59-86-106-115,,32919,32075,7,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/dove.npc,UNRESOLVED
Duria,female,69,70,0-0-0-0,,32617,31938,8,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/duria.npc,UNRESOLVED
Dustrunner,male,1,32,0-0-0-0,,32914,32076,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/dustrunner.npc,UNRESOLVED
Ebenizer,male,1,128,59-95-87-76,,33175,31801,7,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/ebenizer.npc,UNRESOLVED
Edala,female,62,63,0-0-0-0,,32698,31718,2,Ab'Dendriel,P2,home nearest mark Ab'Dendriel,creature,npc,DEMONSTRATED,./npc/edala.npc,UNRESOLVED
Eddy,male,1,128,60-64-0-95,,32168,32431,7,Fibula,P2,home nearest mark Fibula,creature,npc,DEMONSTRATED,./npc/eddy.npc,UNRESOLVED
Edoch,male,1,129,95-0-40-116,,33232,32430,7,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/edoch.npc,UNRESOLVED
Edowir,male,1,130,0-58-96-95,,32343,32363,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/edowir.npc,UNRESOLVED
Edvard,male,1,128,59-115-96-95,,33229,31831,7,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/edvard.npc,UNRESOLVED
Elane,female,1,137,113-63-120-119,,32343,32239,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/elane.npc,UNRESOLVED
Elathriel,male,62,64,0-0-0-0,,32684,31671,9,HellsGate,P2,home nearest mark HellsGate,creature,npc,DEMONSTRATED,./npc/elathriel.npc,UNRESOLVED
Elf Guard,male,62,63,0-0-0-0,,32642,31709,6,Ab'Dendriel,P2,home nearest mark Ab'Dendriel,creature,npc,DEMONSTRATED,./npc/elfguard.npc,UNRESOLVED
Elvith,male,62,144,76-3-0-76,,32669,31607,7,HellsGate,P2,home nearest mark HellsGate,creature,npc,DEMONSTRATED,./npc/elvith.npc,UNRESOLVED
Emperor Kruzak,male,69,66,0-0-0-0,,32627,31923,3,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/kruzak.npc,UNRESOLVED
Eremo,male,1,130,0-109-128-95,,33322,31883,7,Eremo,P2,home nearest mark Eremo,creature,npc,DEMONSTRATED,./npc/eremo.npc,UNRESOLVED
Eroth,male,62,63,0-0-0-0,,32661,31685,6,Ab'Dendriel,P2,home nearest mark Ab'Dendriel,creature,npc,DEMONSTRATED,./npc/eroth.npc,UNRESOLVED
Etzel,male,69,66,0-0-0-0,,32626,31917,5,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/etzel.npc,UNRESOLVED
Eva,female,1,136,96-60-95-0,,32325,31780,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/eva.npc,UNRESOLVED
Fa'hradin,male,80,80,0-0-0-0,,33106,32541,5,Marid,P2,home nearest mark Marid,creature,npc,DEMONSTRATED,./npc/fahradin.npc,UNRESOLVED
Falk,male,1,131,76-11-11-76,,33190,31777,7,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/falk.npc,UNRESOLVED
Faluae,female,62,62,0-0-0-0,,32660,31673,7,Ab'Dendriel,P2,home nearest mark Ab'Dendriel,creature,npc,DEMONSTRATED,./npc/faluae.npc,UNRESOLVED
Feizuhl,male,1,133,98-116-43-95,,33066,32886,7,Chor,P2,home nearest mark Chor,creature,npc,DEMONSTRATED,./npc/feizuhl.npc,UNRESOLVED
Fenbala,female,1,139,77-52-64-115,,32320,31755,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/fenbala.npc,UNRESOLVED
Fenech,male,1,132,76-40-49-117,,33131,32820,5,Ankrahmun,P2,home nearest mark Ankrahmun,creature,npc,DEMONSTRATED,./npc/fenech.npc,UNRESOLVED
Ferks,male,1,128,78-52-118-115,,32634,32738,6,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/ferks.npc,UNRESOLVED
Frans,male,1,0,,3114,32971,32080,6,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/frans.npc,UNRESOLVED
Frodo,male,1,128,58-68-109-131,,32356,32209,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/frodo.npc,UNRESOLVED
Gabel,male,80,80,0-0-0-0,,33102,32520,1,Marid,P2,home nearest mark Marid,creature,npc,DEMONSTRATED,./npc/gabel.npc,UNRESOLVED
Gail,female,1,140,77-64-52-95,,32621,32738,6,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/gail.npc,UNRESOLVED
Galuna,female,1,137,40-96-95-96,,32342,32246,6,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/galuna.npc,UNRESOLVED
Gamel,male,1,129,79-132-115-116,,32337,32207,8,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/gamel.npc,UNRESOLVED
Gamon,male,1,128,97-58-105-120,,32408,32170,7,Minocity,P2,home nearest mark Minocity,creature,npc,DEMONSTRATED,./npc/gamon.npc,UNRESOLVED
Gorn,male,1,129,58-68-101-95,,32377,32200,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/gorn.npc,UNRESOLVED
Graubart,male,1,128,98-87-12-114,,32489,31622,07,Northport,P2,home nearest mark Northport,creature,npc,DEMONSTRATED,./npc/graubart.npc,UNRESOLVED
Gregor,male,1,131,38-38-38-38,,32407,32202,6,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/gregor.npc,UNRESOLVED
"Grof, the guard",male,1,131,19-19-19-19,,32373,32184,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/grof.npc,UNRESOLVED
Gundralph,male,9,9,0-0-0-0,,33268,31849,5,Eremo,P2,home nearest mark Eremo,creature,npc,DEMONSTRATED,./npc/gundralph.npc,UNRESOLVED
Gurbasch,male,69,66,0-0-0-0,,33313,31989,15,Cormaya,P2,home nearest mark Cormaya,creature,npc,DEMONSTRATED,./npc/gurbasch.npc,UNRESOLVED
H.L.,male,1,131,12-76-0-95,,32643,32212,7,Camp,P2,home nearest mark Camp,creature,npc,DEMONSTRATED,./npc/hl.npc,UNRESOLVED
Habdel,male,1,129,95-2-0-97,,33225,32434,7,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/habdel.npc,UNRESOLVED
Hagor,male,1,129,19-58-105-94,,32654,32151,10,Desert,P2,home nearest mark Desert,creature,npc,DEMONSTRATED,./npc/hagor.npc,UNRESOLVED
Hairycles,male,1,117,0-0-0-0,,32826,32574,6,Banuta,P2,home nearest mark Banuta,creature,npc,DEMONSTRATED,./npc/hairycles.npc,UNRESOLVED
Halif,male,1,128,95-2-10-131,,33217,32423,7,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/halif.npc,UNRESOLVED
Hanna,female,1,136,113-65-0-96,,32407,32219,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/hanna.npc,UNRESOLVED
Hardek,male,1,129,96-86-63-115,,32272,32339,7,FibulaDungeon,P2,home nearest mark FibulaDungeon,creature,npc,DEMONSTRATED,./npc/hardek.npc,UNRESOLVED
Harkath Bloodblade,male,1,131,76-38-38-76,,32342,32184,7,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/blood.npc,UNRESOLVED
Haroun,male,80,80,0-0-0-0,,33108,32525,4,Marid,P2,home nearest mark Marid,creature,npc,DEMONSTRATED,./npc/haroun.npc,UNRESOLVED
Harsky,male,1,131,79-79-79-79,,32312,32170,6,Thais,P2,home nearest mark Thais,creature,npc,DEMONSTRATED,./npc/harsky.npc,UNRESOLVED
Helor,male,1,134,57-79-95-98,,32572,32753,6,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/helor.npc,UNRESOLVED
Hofech,male,1,128,95-2-2-57,,33270,32441,7,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/hofech.npc,UNRESOLVED
Hoggle,male,1,128,20-46-88-94,,32537,32143,6,Sternum,P2,home nearest mark Sternum,creature,npc,DEMONSTRATED,./npc/hoggle.npc,UNRESOLVED
Hugo,male,1,130,14-81-80-93,,32951,32103,5,Venore,P2,home nearest mark Venore,creature,npc,DEMONSTRATED,./npc/hugo.npc,UNRESOLVED
Humgolf,male,69,69,0-0-0-0,,32598,31880,9,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/humgolf.npc,UNRESOLVED
Humphrey,male,1,133,0-96-101-76,,32359,31683,6,Fieldofglory,P2,home nearest mark Fieldofglory,creature,npc,DEMONSTRATED,./npc/humphrey.npc,UNRESOLVED
Hyacinth,male,1,130,11-123-123-94,,32137,32171,4,Rookgaard,P1,home nearest mark Rookgaard,creature,npc,DEMONSTRATED,./npc/hyacinth.npc,UNRESOLVED
Imalas,male,1,128,115-10-39-114,,32334,31801,7,Carlin,P2,home nearest mark Carlin,creature,npc,DEMONSTRATED,./npc/imalas.npc,UNRESOLVED
Imbul,male,1,128,95-2-63-115,,32558,32781,7,PortHope,P2,home nearest mark PortHope,creature,npc,DEMONSTRATED,./npc/imbul.npc,UNRESOLVED
Irea,female,62,64,0-0-0-0,,32688,31610,7,HellsGate,P2,home nearest mark HellsGate,creature,npc,DEMONSTRATED,./npc/irea.npc,UNRESOLVED
Ishebad,male,1,65,0-0-0-0,,33158,32848,7,Ankrahmun,P2,home nearest mark Ankrahmun,creature,npc,DEMONSTRATED,./npc/ishebad.npc,UNRESOLVED
Ishina,female,1,138,95-9-87-95,,33231,32423,7,Darashia,P2,home nearest mark Darashia,creature,npc,DEMONSTRATED,./npc/ishina.npc,UNRESOLVED
Isimov,male,69,160,115-0-19-95,,32653,31925,11,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/isimov.npc,UNRESOLVED
Iwan,male,1,128,0-112-88-113,,33217,31833,7,Edron,P2,home nearest mark Edron,creature,npc,DEMONSTRATED,./npc/iwan.npc,UNRESOLVED
Iwar,male,69,160,58-108-63-76,,32618,31917,8,Kazordoon,P2,home nearest mark Kazordoon,creature,npc,DEMONSTRATED,./npc/iwar.npc,UNRESOLVED
Jakahr,male,1,133,95-37-32-40,,33066,32876,7,Chor,P2,home nearest mark Chor,creature,npc,DEMONSTRATED,./npc/jakahr.npc,UNRESOLVED
