id,name,description,category,subcategory,category_confidence,category_evidence,art_class,art_class_confidence,art_class_evidence,flags,wire_extra_bytes,visual_group,visual_group_reason,visual_group_confidence,map_occurrence_sectors,map_regions,priority,priority_evidence,source,sprite_geometry
118,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
119,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
120,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
121,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
122,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
123,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
124,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
125,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
126,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
127,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
128,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
129,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
130,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
131,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
132,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
133,sand,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:sand|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
134,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
135,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
136,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
137,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
138,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
139,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
140,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
141,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
142,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
143,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
144,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
145,dirt,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:dirt|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
146,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
147,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
148,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
149,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
150,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
151,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
152,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
153,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
154,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
155,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
156,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
157,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
158,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
159,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
160,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
161,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
162,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
163,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
164,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
165,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
166,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
167,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
168,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
169,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
170,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
171,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
172,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
173,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
174,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
175,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
176,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
177,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
178,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
179,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
180,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
181,rock soil,,terrain,ground,DEMONSTRATED,flag:Bank,rock,INFERRED,name:rock,"Bank,Unmove",,name:rock soil|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
182,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
183,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
184,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
185,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
